name,type,value,index,raw_float
PWM_AUX_DIS8,INT32,1000,936,1.401298464324817e-42
PWM_AUX_FAIL1,INT32,-1,937,nan
PWM_AUX_FAIL2,INT32,-1,938,nan
PWM_AUX_FAIL3,INT32,-1,939,nan
PWM_AUX_FAIL4,INT32,-1,940,nan
PWM_AUX_FAIL5,INT32,-1,941,nan
PWM_AUX_FAIL6,INT32,-1,942,nan
PWM_AUX_FAIL7,INT32,-1,943,nan
PWM_AUX_FAIL8,INT32,-1,944,nan
PWM_AUX_FUNC1,INT32,101,945,1.4153114489680652e-43
PWM_AUX_FUNC2,INT32,102,946,1.4293244336113134e-43
PWM_AUX_FUNC3,INT32,103,947,1.4433374182545616e-43
PWM_AUX_FUNC4,INT32,104,948,1.4573504028978098e-43
PWM_AUX_FUNC5,INT32,105,949,1.471363387541058e-43
PWM_AUX_FUNC6,INT32,0,950,0.0
PWM_AUX_FUNC7,INT32,0,951,0.0
PWM_AUX_FUNC8,INT32,0,952,0.0
PWM_AUX_MAX1,INT32,1900,953,2.6624670822171524e-42
PWM_AUX_MAX2,INT32,1900,954,2.6624670822171524e-42
PWM_AUX_MAX3,INT32,1900,955,2.6624670822171524e-42
PWM_AUX_MAX4,INT32,1900,956,2.6624670822171524e-42
PWM_AUX_MAX5,INT32,1900,957,2.6624670822171524e-42
PWM_AUX_MAX6,INT32,2000,958,2.802596928649634e-42
PWM_AUX_MAX7,INT32,2000,959,2.802596928649634e-42
PWM_AUX_MAX8,INT32,2000,960,2.802596928649634e-42
PWM_AUX_MIN1,INT32,1100,961,1.5414283107572988e-42
PWM_AUX_MIN2,INT32,1100,962,1.5414283107572988e-42
PWM_AUX_MIN3,INT32,1100,963,1.5414283107572988e-42
PWM_AUX_MIN4,INT32,1100,964,1.5414283107572988e-42
PWM_AUX_MIN5,INT32,1100,965,1.5414283107572988e-42
PWM_AUX_MIN6,INT32,1000,966,1.401298464324817e-42
PWM_AUX_MIN7,INT32,1000,967,1.401298464324817e-42
PWM_AUX_MIN8,INT32,1000,968,1.401298464324817e-42
PWM_AUX_REV,INT32,0,969,0.0
PWM_AUX_TIM0,INT32,400,970,5.605193857299268e-43
PWM_AUX_TIM1,INT32,400,971,5.605193857299268e-43
PWM_AUX_TIM2,INT32,400,972,5.605193857299268e-43
PWM_MAIN_CENT1,INT32,-1,973,nan
PWM_MAIN_CENT2,INT32,-1,974,nan
PWM_MAIN_CENT3,INT32,-1,975,nan
PWM_MAIN_CENT4,INT32,-1,976,nan
PWM_MAIN_CENT5,INT32,-1,977,nan
PWM_MAIN_CENT6,INT32,-1,978,nan
PWM_MAIN_CENT7,INT32,-1,979,nan
PWM_MAIN_CENT8,INT32,-1,980,nan
PWM_MAIN_DIS1,INT32,1500,981,2.1019476964872256e-42
PWM_MAIN_DIS2,INT32,1500,982,2.1019476964872256e-42
PWM_MAIN_DIS3,INT32,1500,983,2.1019476964872256e-42
PWM_MAIN_DIS4,INT32,1500,984,2.1019476964872256e-42
PWM_MAIN_DIS5,INT32,1000,985,1.401298464324817e-42
PWM_MAIN_DIS6,INT32,1000,986,1.401298464324817e-42
PWM_MAIN_DIS7,INT32,1000,987,1.401298464324817e-42
PWM_MAIN_DIS8,INT32,1000,988,1.401298464324817e-42
PWM_MAIN_FAIL1,INT32,-1,989,nan
PWM_MAIN_FAIL2,INT32,-1,990,nan
PWM_MAIN_FAIL3,INT32,-1,991,nan
PWM_MAIN_FAIL4,INT32,-1,992,nan
PWM_MAIN_FAIL5,INT32,-1,993,nan
PWM_MAIN_FAIL6,INT32,-1,994,nan
PWM_MAIN_FAIL7,INT32,-1,995,nan
PWM_MAIN_FAIL8,INT32,-1,996,nan
PWM_MAIN_FUNC1,INT32,201,997,2.8166099132928823e-43
PWM_MAIN_FUNC2,INT32,202,998,2.8306228979361305e-43
PWM_MAIN_FUNC3,INT32,204,999,2.858648867222627e-43
PWM_MAIN_FUNC4,INT32,203,1000,2.8446358825793787e-43
PWM_MAIN_FUNC5,INT32,0,1001,0.0
PWM_MAIN_FUNC6,INT32,0,1002,0.0
PWM_MAIN_FUNC7,INT32,0,1003,0.0
PWM_MAIN_FUNC8,INT32,0,1004,0.0
PWM_MAIN_MAX1,INT32,2000,1005,2.802596928649634e-42
PWM_MAIN_MAX2,INT32,2000,1006,2.802596928649634e-42
PWM_MAIN_MAX3,INT32,2000,1007,2.802596928649634e-42
PWM_MAIN_MAX4,INT32,2000,1008,2.802596928649634e-42
PWM_MAIN_MAX5,INT32,2000,1009,2.802596928649634e-42
PWM_MAIN_MAX6,INT32,2000,1010,2.802596928649634e-42
PWM_MAIN_MAX7,INT32,2000,1011,2.802596928649634e-42
PWM_MAIN_MAX8,INT32,2000,1012,2.802596928649634e-42
PWM_MAIN_MIN1,INT32,1000,1013,1.401298464324817e-42
PWM_MAIN_MIN2,INT32,1000,1014,1.401298464324817e-42
PWM_MAIN_MIN3,INT32,1000,1015,1.401298464324817e-42
PWM_MAIN_MIN4,INT32,1000,1016,1.401298464324817e-42
PWM_MAIN_MIN5,INT32,1000,1017,1.401298464324817e-42
PWM_MAIN_MIN6,INT32,1000,1018,1.401298464324817e-42
PWM_MAIN_MIN7,INT32,1000,1019,1.401298464324817e-42
PWM_MAIN_MIN8,INT32,1000,1020,1.401298464324817e-42
PWM_MAIN_REV,INT32,6,1021,8.407790785948902e-45
PWM_MAIN_TIM0,INT32,50,1022,7.006492321624085e-44
PWM_MAIN_TIM1,INT32,50,1023,7.006492321624085e-44
PWM_MAIN_TIM2,INT32,400,1024,5.605193857299268e-43
PWM_SBUS_MODE,INT32,0,1025,0.0
RC10_MAX,REAL32,2000.0,1026,2000.0
RC10_MIN,REAL32,1000.0,1027,1000.0
RC10_REV,INT32,1,1028,1.401298464324817e-45
RC10_TRIM,REAL32,1500.0,1029,1500.0
RC11_MAX,REAL32,1988.0,1030,1988.0
RC11_MIN,REAL32,1011.0,1031,1011.0
RC11_REV,INT32,1,1032,1.401298464324817e-45
RC11_TRIM,REAL32,1499.0,1033,1499.0
RC12_MAX,REAL32,1988.0,1034,1988.0
RC12_MIN,REAL32,1011.0,1035,1011.0
RC12_REV,INT32,1,1036,1.401298464324817e-45
RC12_TRIM,REAL32,1499.0,1037,1499.0
RC13_MAX,REAL32,2000.0,1038,2000.0
RC13_MIN,REAL32,1000.0,1039,1000.0
RC13_REV,INT32,1,1040,1.401298464324817e-45
RC13_TRIM,REAL32,1500.0,1041,1500.0
RC14_MAX,REAL32,2000.0,1042,2000.0
RC14_MIN,REAL32,1000.0,1043,1000.0
RC14_REV,INT32,1,1044,1.401298464324817e-45
RC14_TRIM,REAL32,1500.0,1045,1500.0
RC15_MAX,REAL32,2000.0,1046,2000.0
RC15_MIN,REAL32,1000.0,1047,1000.0
RC15_REV,INT32,1,1048,1.401298464324817e-45
RC15_TRIM,REAL32,1500.0,1049,1500.0
RC16_MAX,REAL32,2000.0,1050,2000.0
RC16_MIN,REAL32,1000.0,1051,1000.0
RC16_REV,INT32,1,1052,1.401298464324817e-45
RC16_TRIM,REAL32,1500.0,1053,1500.0
RC17_MAX,REAL32,2000.0,1054,2000.0
RC17_MIN,REAL32,1000.0,1055,1000.0
RC17_REV,INT32,1,1056,1.401298464324817e-45
RC17_TRIM,REAL32,1500.0,1057,1500.0
RC18_MAX,REAL32,2000.0,1058,2000.0
RC18_MIN,REAL32,1000.0,1059,1000.0
RC18_REV,INT32,1,1060,1.401298464324817e-45
RC18_TRIM,REAL32,1500.0,1061,1500.0
RC1_MAX,REAL32,1993.0,1062,1993.0
RC1_MIN,REAL32,1001.0,1063,1001.0
RC1_REV,INT32,1,1064,1.401298464324817e-45
RC1_TRIM,REAL32,1500.0,1065,1500.0
RC2_MAX,REAL32,1932.0,1066,1932.0
RC2_MIN,REAL32,1023.0,1067,1023.0
RC2_REV,INT32,1,1068,1.401298464324817e-45
RC2_TRIM,REAL32,1500.0,1069,1500.0
RC3_MAX,REAL32,1993.0,1070,1993.0
RC3_MIN,REAL32,1001.0,1071,1001.0
RC3_REV,INT32,1,1072,1.401298464324817e-45
RC3_TRIM,REAL32,1001.0,1073,1001.0
RC4_MAX,REAL32,1882.0,1074,1882.0
RC4_MIN,REAL32,1001.0,1075,1001.0
RC4_REV,INT32,1,1076,1.401298464324817e-45
RC4_TRIM,REAL32,1500.0,1077,1500.0
RC5_MAX,REAL32,1988.0,1078,1988.0
RC5_MIN,REAL32,1011.0,1079,1011.0
RC5_REV,INT32,1,1080,1.401298464324817e-45
RC5_TRIM,REAL32,1499.0,1081,1499.0
RC6_MAX,REAL32,2000.0,1082,2000.0
RC6_MIN,REAL32,1000.0,1083,1000.0
RC6_REV,INT32,1,1084,1.401298464324817e-45
RC6_TRIM,REAL32,1500.0,1085,1500.0
RC7_MAX,REAL32,1988.0,1086,1988.0
RC7_MIN,REAL32,1011.0,1087,1011.0
RC7_REV,INT32,1,1088,1.401298464324817e-45
RC7_TRIM,REAL32,1499.0,1089,1499.0
RC8_MAX,REAL32,1988.0,1090,1988.0
RC8_MIN,REAL32,1011.0,1091,1011.0
RC8_REV,INT32,1,1092,1.401298464324817e-45
RC8_TRIM,REAL32,1499.0,1093,1499.0
RC9_MAX,REAL32,1988.0,1094,1988.0
RC9_MIN,REAL32,1011.0,1095,1011.0
RC9_REV,INT32,1,1096,1.401298464324817e-45
RC9_TRIM,REAL32,1499.0,1097,1499.0
RC_ARMSWITCH_TH,REAL32,0.75,1098,0.75
RC_CHAN_CNT,INT32,16,1099,2.2420775429197073e-44
RC_CRSF_PRT_CFG,INT32,103,1100,1.4433374182545616e-43
RC_CRSF_TEL_EN,INT32,0,1101,0.0
RC_ENG_MOT_TH,REAL32,0.75,1102,0.75
RC_FAILS_THR,INT32,0,1103,0.0
RC_GEAR_TH,REAL32,0.75,1104,0.75
